Clothing.ID,Age,Title,Review.Text,Rating,Recommended.IND,Positive.Feedback.Count,Division.Name,Department.Name,Class.Name
1,767,33,Absolutely wonderful - silky and sexy and comfortable,4,1,0,Intimates,Intimate,Intimates
2,1080,34,i'm glad i did bc i never would have ordered it online bc it's petite. i bought a petite and am 5'8''. i love the length on me- hits just a little below the knee. would definitely be a true midi on someone who is truly petite.,5,1,4,General,Dresses,Dresses
3,1077,60,"which was just the top half, but the bottom, a major design flaw was the net over layer sewn directly into the zipper - it c",3,0,0,General,Dresses,Dresses
4,1049,50,"My love. love this jump, flirty and fabulous i get nothing but great compliments!",5,1,0,General Petite,Bottoms,Pants
5,847,47,Flattering shirt. This shirt is very flattering to its all due to the adjustable front tie. it is the perfect length to wear with leggings and it is sleeveless so it pairs well with any cardigan. love this shirt!!!,5,1,6,General,Tops,Blouses
6,1080,49,"No. but this one is, shortening and narrowing the skirt would take away from the embellishment of the garment. i love the color and the idea of the style but it just did not work on me. i returned this dress.",2,0,4,General,Dresses,Dresses
7,858,39,"Cag, and turns out no petite). i because as i it matvehd et, pants and the 3 skirts i waas trying on (of which i ]kept all ) oops.",5,1,1,General Petite,Tops,Knits
8,858,39,"Shi, surprisingly and had a top and went we, flare pants etc. my only sleeves are l, but no xxs... so i kept it and wil ldecide later since the light color is already sold out in hte smallest size...",4,1,4,General Petite,Tops,Knits
9,1077,24,Flattering. i love this dress. i usually get an xs but it runs a little snug in bust so i ordered up a size. very flattering and feminine with the usual retailer flair for style.,5,1,0,General Petite,Dresses,Dresses
10,1077,34,"S. a s petite will, but not tight, or down for work. i love that the tulle is longer then the fabric underneath.",5,1,0,General,Dresses,Dresses
11,1077,53,Dress looks like it's made of cheap material;Dress runs small esp where the zipper area runs. i ordered the sp which typically fits me and it was very tight! the material on the top looks and feels very cheap that even just pulling on it will cause it to rip the fabric.,1,0,0,General,Dresses,Dresses
12,1095,39,this dress is perfection! so pretty and flattering.,5,1,2,General Petite,Dresses,Dresses
13,1095,53,"P. they are right, lined and reminiscent of the old retailer quality. it is lined in the solid periwinkle-colored fabric that matches the outer fabric print. tts and very form-fitting. falls just above the knee and does not rid",5,1,2,General Petite,Dresses,Dresses
14,767,44,"Runs big;Bought the black xs to go under the larkspur midi dress because they didn't bother lining the skirt portion (grrrrrrrrrr). my stats are, so i would say it's running big. the straps are very pretty and it could easily be nightwear too. i'm 5'6'' and it came to just below my knees.",5,1,0,Intimates,Intimate,Intimates
15,1077,50,Pretty party dress with some issues;This is a nice choice for holiday gatherings. the size small fit me well - i am usually a size 2/4 with a small bust. in my opinion it runs small,4,1,3,General,Dresses,Dresses
16,1065,47,"but not for m;but i could tell the, they are real, linen-like fat, pretty color, well made. i hope they make someone very happy!",4,1,3,General,Bottoms,Pants
17,1065,34,"Y. or taller;Mat, and front ple, i think you can, this may look good on you.",3,1,2,General,Bottoms,Pants
18,853,41,Looks great with white pants;Took a chance on this blouse and so glad i did. i wasn't crazy about how the blouse is photographed on the model. i paired it whit white pants and it worked perfectly. crisp and clean is how i would describe it. launders well. fits great.,5,1,0,General,Tops,Blouses
19,1120,32,"super cozy;dry days and, about 135 and the small fits great.",5,1,0,General,Jackets,Outerwear
20,1077,47,but not over;it was perfect! i ordered an xsp. length was perfect too.,5,1,0,General,Dresses,Dresses
21,847,33,"Cu. crisp shirt;I, i would get the petite. the regular is a little long on me but a tailor can do a simple fix on that.",5,1,0,General,Tops,Blouses
